1520, 350203, 1,
1520, 400103, 1,
1620, 350203, 1,
1624, 400103, 5,
2342, 400103, 9,
2703, 350203, 1,
2703, 400103, 1,
1520, 350203, 3,
1620, 400103, 5,
1624, 400103, 2,
2342, 400103, 5,
2703, 350203, 5,
2703, 400103, 1,
1520, 350203, 3,
1624, 400103, 3,
2095, 350203, 1,
2342, 400103, 6,
2703, 350203, 3,
2703, 400103, 1,
1520, 350203, 1,
1520, 400103, 3,
1624, 400103, 7,
2095, 350203, 1,
2342, 400103, 7,
2703, 400103, 2,
1520, 350203, 1,
1520, 400103, 1,
1624, 400103, 2,
1987, 350203, 1,
2342, 400103, 7,
2703, 400103, 1,
1520, 350203, 1,
1520, , 1,
1620, , 4,
1624, , 5,
2342, , 4,
2703, , 2,
1520, 350203, 1,
1624, 400103, 4,
1633, 400103, 2,
2342, 400103, 11,
1520, 400103, 1,
1620, 400103, 2,
1624, 400103, 2,
1987, 350203, 1,
2095, 350203, 1,
2342, 400101, 1,
2342, 400103, 2,
2703, 350203, 1,
1520, 350203, 1,
1624, 400103, 7,
2342, 400101, 1,
2342, 400103, 5,
2703, 350203, 1,
2703, 400103, 1,
1520, 350203, 1,
1520, 400103, 1,
1624, 400103, 2,
1987, 350203, 1,
2342, 400103, 7,
2703, 350203, 1,
1520, 350203, 2,
1520, 400103, 1,
1624, 400103, 4,
2342, 400103, 5,
2703, 350203, 1,
2703, 400103, 3,
1520, 350203, 2,
1624, 400103, 7,
1987, 350203, 1,
2095, 350203, 1,
2342, 400103, 5,
2703, 350203, 1,
2703, 400103, 2,
1520, 400103, 1,
1624, 400103, 3,
2342, 400103, 7,
2703, 400103, 1,
1520, 400103, 1,
1620, 400103, 2,
1624, 400103, 6,
2342, 400103, 6,
